time_years,pH,gems_code,rate_Qtz_mol_s,Ca/Si in CSH
1.0,13.227814261870465,2,2.522247426816521e-10,1.5956643143733449
2.0,13.226536777924524,2,2.518987219998868e-10,1.5957683751725311
3.0,13.225264929123746,2,2.5157429958249823e-10,1.595871643173448
4.0,13.2239986678458,2,2.512514600323144e-10,1.5959741276353068
5.0,13.222737952159044,2,2.5093018877894974e-10,1.5960758402912019
6.0,13.221482730760227,2,2.5061047243101486e-10,1.5961767878326447
7.0,13.220232959509127,2,2.5029229586086755e-10,1.5962769800324454
8.0,13.218988593216492,2,2.4997564540315246e-10,1.596376425721635
9.0,13.2177495872538,2,2.496605072643711e-10,1.5964751335879046
10.0,13.216515897629439,2,2.493468678328656e-10,1.5965731122309554
11.0,13.215287480687726,2,2.4903471369173686e-10,1.5966703699868139
12.0,13.21406429350943,2,2.487240315602601e-10,1.5967669151764672
13.0,13.212846293649891,2,2.4841480836938387e-10,1.596862755960697
14.0,13.211633439178106,2,2.4810703120996236e-10,1.5969579003681782
15.0,13.210425685731872,2,2.47800687339007e-10,1.5970523550727755
16.0,13.209222999533733,2,2.4749576358086994e-10,1.5971461304616537
17.0,13.208025333446134,2,2.471922489893364e-10,1.5972392324545368
18.0,13.206832651957773,2,2.468901298822745e-10,1.5973316694096105
19.0,13.205644915476386,2,2.465893951091509e-10,1.5974234491907187
20.0,13.20446208100485,2,2.462900326906711e-10,1.5975145771856352
21.0,13.203284109157694,2,2.459920300046195e-10,1.5976050601708407
22.0,13.20211097115246,2,2.4569537523743497e-10,1.5976949096321305
23.0,13.200942617159098,2,2.4540005874869355e-10,1.5977841267400075
24.0,13.19977902026918,2,2.4510606673540506e-10,1.5978727229800858
25.0,13.198620138733247,2,2.4481339005597837e-10,1.5979607034201617
26.0,13.197465935602679,2,2.445220165819349e-10,1.5980480742670082
27.0,13.196316381027852,2,2.4423193525576324e-10,1.5981348445780792
28.0,13.195171429409681,2,2.439431365069564e-10,1.5982210161218255
29.0,13.19403105632137,2,2.436556076273384e-10,1.5983066004992703
30.0,13.192895219653517,2,2.433693402014829e-10,1.5983916003650573
31.0,13.19176388764548,2,2.430843223187837e-10,1.5984760231457538
32.0,13.190637026440667,2,2.4280054419293924e-10,1.598559874960305
33.0,13.189514602565378,2,2.4251799566272436e-10,1.5986431618415846
34.0,13.188396580343104,2,2.422366666886531e-10,1.598725888506822
